education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
Some college,Female,1966.0,Self-employed,"Less than $10,000",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,10.0,11.0,54.0,1,1,Female,Some college or less,Less than 50k,Moderate,Other or independent,Working,Married
4-year degree,Male,1990.0,Employed full-time in an organization,"$50,000 - $59,999",Extremely conservative,Republican,Married or in a domestic partnership,11.0,10.0,30.0,1,1,Male,College degree,50k to 99k,Conservative,Republican,Working,Married
4-year degree,Male,1994.0,Employed full-time in an organization,"$20,000 - $29,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",9.0,11.0,26.0,1,1,Male,College degree,Less than 50k,Liberal,Other or independent,Working,Not married
4-year degree,Male,1991.0,Employed full-time in an organization,"$40,000 - $49,999",Liberal,Republican,Married or in a domestic partnership,3.0,9.0,29.0,1,0,Male,College degree,Less than 50k,Liberal,Republican,Working,Married
Some college,Female,1980.0,Self-employed,"$90,000 - $99,999",Conservative,Republican,Married or in a domestic partnership,11.0,6.0,40.0,1,1,Female,Some college or less,50k to 99k,Conservative,Republican,Working,Married
4-year degree,Female,1990.0,Employed full-time in an organization,"$30,000 - $39,999",Liberal,Republican,Married or in a domestic partnership,11.0,11.0,30.0,1,1,Female,College degree,Less than 50k,Liberal,Republican,Working,Married
4-year degree,Female,1995.0,Employed full-time in an organization,"$70,000 - $79,999",Extremely liberal,Democrat,"Single, never married",1.0,1.0,25.0,0,0,Female,College degree,50k to 99k,Liberal,Democrat,Working,Not married
2-year degree,Female,1985.0,Currently unable to work,"Less than $10,000",Liberal,Democrat,"Single, never married",11.0,11.0,35.0,1,1,Female,College degree,Less than 50k,Liberal,Democrat,Not working,Not married
High school graduate,Female,1996.0,"Unemployed, looking for work","$60,000 - $69,999",Slightly conservative,Democrat,Divorced,10.0,10.0,24.0,1,1,Female,Some college or less,50k to 99k,Conservative,Democrat,Not working,Not married
4-year degree,Female,1996.0,Employed full-time in an organization,"$60,000 - $69,999",Liberal,Democrat,"Single, never married",9.0,7.0,24.0,1,1,Female,College degree,50k to 99k,Liberal,Democrat,Working,Not married
4-year degree,Female,1990.0,Employed full-time in an organization,"$50,000 - $59,999",Conservative,Republican,Married or in a domestic partnership,9.0,10.0,30.0,1,1,Female,College degree,50k to 99k,Conservative,Republican,Working,Married
Some college,Female,1972.0,Employed full-time in an organization,"$30,000 - $39,999",Extremely liberal,Democrat,"Single, never married",11.0,11.0,48.0,1,1,Female,Some college or less,Less than 50k,Liberal,Democrat,Working,Not married
High school graduate,Female,1989.0,Employed full-time in an organization,"$50,000 - $59,999",Extremely liberal,Democrat,"Single, never married",11.0,11.0,31.0,1,1,Female,Some college or less,50k to 99k,Liberal,Democrat,Working,Not married
4-year degree,Female,1967.0,Self-employed,"$125,000 or more",Liberal,Democrat,Married or in a domestic partnership,11.0,10.0,53.0,1,1,Female,College degree,100k+,Liberal,Democrat,Working,Married
High school graduate,Male,1995.0,Employed part-time in an organization,"Less than $10,000",Moderate; middle of the road,Democrat,"Single, never married",11.0,11.0,25.0,1,1,Male,Some college or less,Less than 50k,Moderate,Democrat,Working,Not married
4-year degree,Male,1986.0,Employed full-time in an organization,"$40,000 - $49,999",Conservative,Republican,Married or in a domestic partnership,11.0,10.0,34.0,1,1,Male,College degree,Less than 50k,Conservative,Republican,Working,Married
4-year degree,Female,1985.0,Employed full-time in an organization,"$40,000 - $49,999",Extremely conservative,Republican,Married or in a domestic partnership,11.0,11.0,35.0,1,1,Female,College degree,Less than 50k,Conservative,Republican,Working,Married
High school graduate,Female,1995.0,Employed part-time in an organization,"$10,000 - $19,999",Conservative,"Independent, but lean Democrat","Single, never married",10.0,11.0,25.0,1,1,Female,Some college or less,Less than 50k,Conservative,Other or independent,Working,Not married
4-year degree,Male,1981.0,Employed full-time in an organization,"$50,000 - $59,999",Conservative,Republican,Married or in a domestic partnership,7.0,8.0,39.0,1,1,Male,College degree,50k to 99k,Conservative,Republican,Working,Married
Professional degree,Male,1989.0,Employed full-time in an organization,"$125,000 or more",Conservative,Republican,Married or in a domestic partnership,6.0,7.0,31.0,1,1,Male,Advanced degree,100k+,Conservative,Republican,Working,Married
4-year degree,Male,1975.0,Employed full-time in an organization,"$90,000 - $99,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,45.0,1,1,Male,College degree,50k to 99k,Moderate,Other or independent,Working,Married
4-year degree,Female,1962.0,Employed full-time in an organization,"Less than $10,000",Extremely liberal,Democrat,"Single, never married",11.0,1.0,58.0,0,1,Female,College degree,Less than 50k,Liberal,Democrat,Working,Not married
Some college,Female,1993.0,Employed part-time in an organization,"Less than $10,000",Slightly conservative,Independent with no party preference,"Single, never married",11.0,11.0,27.0,1,1,Female,Some college or less,Less than 50k,Conservative,Other or independent,Working,Not married
Professional degree,Female,1968.0,Employed full-time in an organization,"$50,000 - $59,999",Conservative,"Independent, but lean Republican",Divorced,1.0,2.0,52.0,0,0,Female,Advanced degree,50k to 99k,Conservative,Other or independent,Working,Not married
Professional degree,Male,1983.0,Employed full-time in an organization,"$80,000 - $89,999",Extremely conservative,Republican,Married or in a domestic partnership,11.0,11.0,37.0,1,1,Male,Advanced degree,50k to 99k,Conservative,Republican,Working,Married
Professional degree,Female,1985.0,Employed full-time in an organization,"$110,000 - $124,999",Extremely conservative,Republican,Married or in a domestic partnership,11.0,11.0,35.0,1,1,Female,Advanced degree,100k+,Conservative,Republican,Working,Married
4-year degree,Male,1994.0,Employed full-time in an organization,"$50,000 - $59,999",Slightly conservative,"Independent, but lean Republican","Single, never married",9.0,8.0,26.0,1,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
Professional degree,Male,1991.0,Employed full-time in an organization,"$40,000 - $49,999",Conservative,Republican,"Single, never married",11.0,11.0,29.0,1,1,Male,Advanced degree,Less than 50k,Conservative,Republican,Working,Not married
